Datetime,Open,High,Low,Close,Volume,Sma,Atr
2022-01-20 05:00:00,1.3491,1.3533,1.3352,1.3492,25220814.0,1.3775857142857142,0.032114706999026944
2022-01-20 06:00:00,1.3493,1.3586,1.3425,1.3485,21918083.0,1.3761190476190475,0.03135210190383518
2022-01-20 07:00:00,1.3484,1.3704,1.3382,1.3582,39286503.0,1.3749380952380952,0.03139247800365256
2022-01-20 08:00:00,1.3582,1.3722,1.3567,1.3608,33339291.0,1.3730761904761906,0.030635693336811962
2022-01-20 09:00:00,1.3608,1.3686,1.3532,1.3634,22782397.0,1.3716761904761905,0.029910184130297113
2022-01-20 10:00:00,1.3635,1.3661,1.3437,1.3487,32072220.0,1.3679619047619047,0.029552556314568688
2022-01-20 11:00:00,1.3487,1.3533,1.3322,1.3515,35728922.0,1.364547619047619,0.029150053632922557
2022-01-20 12:00:00,1.3516,1.358,1.3431,1.3512,26367323.0,1.3612285714285715,0.02847147965040244
2022-01-20 13:00:00,1.3512,1.3625,1.3412,1.3487,28736860.0,1.3568571428571428,0.0281299806194309
2022-01-20 14:00:00,1.3487,1.35,1.3351,1.3459,31383234.0,1.354104761904762,0.02749998154231515
2022-01-20 15:00:00,1.3459,1.3823,1.3403,1.3736,51463194.0,1.3531142857142857,0.028190458611728714
2022-01-20 16:00:00,1.3736,1.4095,1.3698,1.4017,75668911.0,1.353395238095238,0.028738532011170208
2022-01-20 17:00:00,1.4018,1.4254,1.3962,1.4051,83482118.0,1.353804761904762,0.028760506677304957
2022-01-20 18:00:00,1.4053,1.4132,1.3921,1.4051,45245891.0,1.3556761904761905,0.028395720645052348
2022-01-20 19:00:00,1.4051,1.4061,1.3761,1.3795,37734068.0,1.3577666666666668,0.028472114900049843
2022-01-20 20:00:00,1.3796,1.3946,1.3777,1.3824,34254780.0,1.3602142857142856,0.027921061809571286
2022-01-20 21:00:00,1.3825,1.4021,1.3782,1.386,36688311.0,1.3619238095238095,0.027729582675782165
2022-01-20 22:00:00,1.386,1.3909,1.3549,1.363,47422921.0,1.3632428571428572,0.028123412072173493
2022-01-20 23:00:00,1.3631,1.3645,1.2834,1.2843,100848603.0,1.361395238095238,0.030646106735403324
2022-01-21 00:00:00,1.2843,1.3055,1.2556,1.2845,111950942.0,1.3590714285714287,0.031562958795622216
2022-01-21 01:00:00,1.2844,1.2863,1.2501,1.2575,78467787.0,1.354704761904762,0.031783770281544964
2022-01-21 02:00:00,1.2575,1.2809,1.2414,1.2683,96255286.0,1.3508523809523811,0.03215120979194758
2022-01-21 03:00:00,1.2683,1.272,1.2111,1.2136,83759928.0,1.3444285714285715,0.03352019980185483
2022-01-21 04:00:00,1.2138,1.2546,1.2101,1.2361,80257171.0,1.3386142857142858,0.03404304743033794
2022-01-21 05:00:00,1.236,1.2444,1.1995,1.2066,95680407.0,1.3312714285714284,0.03456004517175041
2022-01-21 06:00:00,1.2065,1.2259,1.2055,1.2188,43273643.0,1.3243857142857143,0.03388575730642896
2022-01-21 07:00:00,1.2188,1.2369,1.2118,1.2308,34847588.0,1.3187714285714285,0.03346738791088473
2022-01-21 08:00:00,1.2308,1.2349,1.2226,1.2311,33540844.0,1.3130380952380953,0.03245941705798546
2022-01-21 09:00:00,1.231,1.2437,1.226,1.2409,37505686.0,1.3077857142857143,0.03175658767427187
2022-01-21 10:00:00,1.2408,1.2437,1.2311,1.2367,32093930.0,1.302452380952381,0.030844369213592255
2022-01-21 11:00:00,1.2368,1.2374,1.2205,1.2278,28300708.0,1.2968285714285714,0.03018035163199263
2022-01-21 12:00:00,1.2278,1.24,1.2242,1.2346,26462892.0,1.2902095238095237,0.029495572982850125
2022-01-21 13:00:00,1.2345,1.2357,1.2063,1.2172,37035445.0,1.2814238095238095,0.029491021888428698
2022-01-21 14:00:00,1.2172,1.2192,1.1637,1.1866,120515242.0,1.2710190476190475,0.030729544655646385
2022-01-21 15:00:00,1.1869,1.2036,1.1791,1.1923,61066840.0,1.2608857142857144,0.030432899672044173
2022-01-21 16:00:00,1.1924,1.2107,1.1819,1.1946,53240955.0,1.2520809523809522,0.03035514254480398
2022-01-21 17:00:00,1.1946,1.2199,1.1806,1.2116,57952307.0,1.243947619047619,0.030781088137908547
2022-01-21 18:00:00,1.2116,1.2218,1.1971,1.2054,38707873.0,1.235347619047619,0.03049151251229385
2022-01-21 19:00:00,1.2053,1.2105,1.1911,1.1958,31348696.0,1.2273857142857143,0.02996334524980366
2022-01-21 20:00:00,1.1956,1.2119,1.1789,1.1943,52004836.0,1.2231,0.03010794785695586
2022-01-21 21:00:00,1.1941,1.2053,1.1829,1.1844,35019180.0,1.2183333333333333,0.029740902720910338
2022-01-21 22:00:00,1.1844,1.1949,1.1663,1.1901,65787153.0,1.2151238095238095,0.02968657401991462
2022-01-21 23:00:00,1.1902,1.2102,1.1087,1.1397,136313045.0,1.209,0.03310626097134725
2022-01-22 00:00:00,1.1401,1.1566,1.1,1.1281,86717600.0,1.2049285714285713,0.034225010448902145
2022-01-22 01:00:00,1.128,1.1467,1.1107,1.1202,81246218.0,1.1994095238095237,0.034309533760859184
2022-01-22 02:00:00,1.1199,1.144,1.1133,1.1271,51649744.0,1.1956238095238096,0.03413765120081827
2022-01-22 03:00:00,1.127,1.1433,1.1199,1.1374,33538978.0,1.191747619047619,0.033626334476969784
2022-01-22 04:00:00,1.1374,1.1489,1.1274,1.1426,28467016.0,1.187547619047619,0.033048889978066466
2022-01-22 05:00:00,1.1425,1.1543,1.1184,1.1348,50329176.0,1.1829619047619047,0.03318465712196807
2022-01-22 06:00:00,1.1349,1.1413,1.1235,1.1304,27154044.0,1.1777,0.03245205440187435
2022-01-22 07:00:00,1.1305,1.1307,1.0666,1.0833,98762657.0,1.170395238095238,0.03395909943035652
2022-01-22 08:00:00,1.0831,1.0952,1.0514,1.0697,105135616.0,1.1628666666666665,0.03442771374319669
2022-01-22 09:00:00,1.0697,1.0794,1.025,1.0315,108538560.0,1.1531952380952382,0.035378774993520656
2022-01-22 10:00:00,1.0315,1.0548,1.0313,1.0381,62211757.0,1.1446666666666667,0.03481311904144824
2022-01-22 11:00:00,1.0381,1.0499,1.0007,1.0031,127961253.0,1.1359285714285714,0.03549820861090309
2022-01-22 12:00:00,1.003,1.0395,0.9134,1.0383,417139904.0,1.128595238095238,0.039812579629431515
2022-01-22 13:00:00,1.0383,1.0432,1.0048,1.0269,119217255.0,1.120609523809524,0.03974531393279192
2022-01-22 14:00:00,1.0269,1.1032,1.02,1.0932,129116848.0,1.1149714285714285,0.04181458469789706
2022-01-22 15:00:00,1.0932,1.1428,1.0775,1.1151,174988411.0,1.1106714285714285,0.04293293780752102
2022-01-22 16:00:00,1.1152,1.1176,1.0653,1.0689,110623341.0,1.1046285714285715,0.043378988388115255
2022-01-22 17:00:00,1.0691,1.1087,1.0526,1.0548,124371621.0,1.0979857142857141,0.04398475084582406
2022-01-22 18:00:00,1.0549,1.1097,1.0471,1.0741,128057770.0,1.0927333333333333,0.0448711912817372
2022-01-22 19:00:00,1.0741,1.0868,1.0439,1.0545,76128118.0,1.0862761904761906,0.0447773250302259
2022-01-22 20:00:00,1.0543,1.0619,1.0315,1.033,82006369.0,1.081195238095238,0.04409269050497705
2022-01-22 21:00:00,1.0328,1.0519,1.0211,1.0286,73658846.0,1.0764571428571428,0.043459705242835295
2022-01-22 22:00:00,1.0286,1.0999,1.0234,1.0812,132693986.0,1.0746,0.04503305261222409
2022-01-22 23:00:00,1.0812,1.1047,1.0705,1.0894,55019702.0,1.0728047619047618,0.04451719296402294
2022-01-23 00:00:00,1.0894,1.0907,1.0533,1.0569,34444113.0,1.0689714285714285,0.04417827901335519
